season,episode,name,lines,,,,
1,1,Jim,36,,,,
1,1,Michael,82,,,,
1,1,Pam,40,,,,
1,1,Dwight,29,,,,
1,1,Jan,12,,,,
1,1,Todd Packer,3,,,,
1,1,Phyllis,2,,,,
1,1,Stanley,5,,,,
1,1,Oscar,3,,,,
1,1,Angela,1,,,,
1,1,Kevin,1,,,,
1,1,Ryan,8,,,,
1,1,Man,1,,,,
1,1,Roy,5,,,,
1,2,Michael,75,,,,
1,2,Mr. Brown,36,,,,
1,2,Jim,25,,,,
1,2,Dwight,17,,,,
1,2,Pam,12,,,,
1,2,Oscar,13,,,,
1,2,Kevin,8,,,,
1,2,Toby,2,,,,
1,2,Kelly,2,,,,
1,2,Stanley,5,,,,
1,2,Ryan,4,,,,
1,2,Angela,4,,,,
1,3,Michael,55,,,,
1,3,Pam,32,,,,
1,3,Jan,18,,,,
1,3,Jim,42,,,,
1,3,Dwight,62,,,,
1,3,Stanley,6,,,,
1,3,Oscar,9,,,,
1,3,Kevin,6,,,,
1,3,Angela,5,,,,
1,3,Meredith,3,,,,
1,3,Travel Agent,1,,,,
1,3,Man on Phone,3,,,,
1,3,Ryan,1,,,,
1,4,Dwight,47,,,,
1,4,Michael,68,,,,
1,4,Stanley,2,,,,
1,4,Pam,22,,,,
1,4,Phyllis,5,,,,
1,4,Angela,7,,,,
1,4,Jim,49,,,,
1,4,Kevin,3,,,,
1,4,Toby,4,,,,
1,4,Oscar,14,,,,
1,4,Ryan,4,,,,
1,4,Everybody,5,,,,
1,4,Meredith,10,,,,
1,4,Roy,3,,,,
1,5,Michael,104,,,,
1,5,Dwight,25,,,,
1,5,Jim,21,,,,
1,5,Phyllis,4,,,,
1,5,Pam,14,,,,
1,5,Ryan,8,,,,
1,5,Lonny,5,,,,
1,5,Darryl,15,,,,
1,5,Everybody,1,,,,
1,5,Stanley,3,,,,
1,5,Oscar,2,,,,
1,5,Kevin,1,,,,
1,5,Angela,3,,,,
1,5,Roy,12,,,,
1,5,Teammates,1,,,,
1,5,Michael and Dwight,1,,,,
1,5,Warehouse worker,2,,,,
1,5,Madge,3,,,,
1,5,Worker,5,,,,
1,6,Jan,8,,,,
1,6,Michael,106,,,,
1,6,Dwight,28,,,,
1,6,Pam,42,,,,
1,6,Katy,58,,,,
1,6,Kevin,4,,,,
1,6,Ryan,12,,,,
1,6,Oscar,1,,,,
1,6,Toby,6,,,,
1,6,Roy,14,,,,
1,6,Jim,55,,,,
1,6,Stanley,3,,,,
1,6,Angela,3,,,,
2,1,Michael,96,,,,
2,1,Jim,32,,,,
2,1,Pam,40,,,,
2,1,Dwight,32,,,,
2,1,Stanley,8,,,,
2,1,Oscar,2,,,,
2,1,Kelly,7,,,,
2,1,Phyllis,10,,,,
2,1,Jan,9,,,,
2,1,Roy,6,,,,
2,1,Kevin,1,,,,
2,1,Darryl,1,,,,
2,1,Ryan,2,,,,
2,1,Angela,1,,,,
2,1,Guy at bar,1,,,,
2,1,Other Guy at Bar,1,,,,
2,1,Guy At Bar,2,,,,
2,1,Pam and Jim,1,,,,
2,1,Everybody,1,,,,
2,1,Employee,1,,,,
2,1,Chili's Employee,1,,,,
2,2,Michael,99,,,,
2,2,Jim,16,,,,
2,2,Dwight,11,,,,
2,2,Todd Packer,19,,,,
2,2,Ryan,1,,,,
2,2,Pam,27,,,,
2,2,Toby,26,,,,
2,2,Darryl,9,,,,
2,2,Roy,14,,,,
2,2,Warehouse Guy,1,,,,
2,2,Warehouse guy,2,,,,
2,2,Kevin,6,,,,
2,2,Angela,2,,,,
2,2,Stanley,1,,,,
2,2,Meredith,1,,,,
2,2,Phyllis,6,,,,
2,2,Man in Video,1,,,,
2,2,Video,1,,,,
2,2,Actor,2,,,,
2,2,Redheaded Actress,1,,,,
2,2,Jan,11,,,,
2,2,Mr. O'Malley,1,,,,
2,2,Albiny,2,,,,
2,2,Pam's Mom,18,,,,
2,3,Michael,83,,,,
2,3,Ryan,5,,,,
2,3,Dwight,55,,,,
2,3,Pam,30,,,,
2,3,Jim,54,,,,
2,3,Kevin,8,,,,
2,3,Oscar,10,,,,
2,3,Carol,15,,,,
2,3,Bill,2,,,,
2,3,Stanley,3,,,,
2,3,Angela,5,,,,
2,3,Phyllis,2,,,,
2,3,Meredith,1,,,,
2,3,Everyone,1,,,,
2,3,Crowd,1,,,,
2,4,Pam,22,,,,
2,4,Jim,51,,,,
2,4,Michael,69,,,,
2,4,Ryan,40,,,,
2,4,Dwight,64,,,,
2,4,Oscar,4,,,,
2,4,Angela,17,,,,
2,4,Phyllis,6,,,,
2,4,Kelly,4,,,,
2,4,Stanley,5,,,,
2,4,Meredith,4,,,,
2,4,Kevin,4,,,,
2,4,song,1,,,,
2,4,Song,6,,,,
2,4,Roy,6,,,,
2,4,Dwight and Michael,2,,,,
2,4,Katy,11,,,,
2,5,Michael,108,,,,
2,5,Pam,27,,,,
2,5,Sherri,11,,,,
2,5,Dwight,33,,,,
2,5,Jim,30,,,,
2,5,Phyllis,3,,,,
2,5,Oscar,7,,,,
2,5,Angela,13,,,,
2,5,Kevin,2,,,,
2,5,Kelly,3,,,,
2,5,Stanley,3,,,,
2,5,Ryan,1,,,,
2,5,Creed,16,,,,
2,5,Devon,8,,,,
2,5,Children,1,,,,
2,5,Kid,3,,,,
2,6,Dwight,64,,,,
2,6,Jim,49,,,,
2,6,Stanley,3,,,,
2,6,Pam,25,,,,
2,6,Michael,85,,,,
2,6,Ryan,17,,,,
2,6,Kevin,3,,,,
2,6,Toby,5,,,,
2,6,Angela,3,,,,
2,6,Kelly,3,,,,
2,6,Ira,9,,,,
2,6,Ryan's Voicemail,1,,,,
2,7,Ryan,6,,,,
2,7,Jim,40,,,,
2,7,Pam,32,,,,
2,7,Jan,46,,,,
2,7,Michael,72,,,,
2,7,Oscar,4,,,,
2,7,Toby,1,,,,
2,7,Kelly,1,,,,
2,7,Dwight,22,,,,
2,7,Christian,19,,,,
2,7,Hostess,1,,,,
2,7,Everyone,1,,,,
2,7,Phyllis,4,,,,
2,7,Michael and Christian,2,,,,
2,7,Roy,1,,,,
2,7,Kevin,1,,,,
2,8,Dwight,42,,,,
2,8,Jim,26,,,,
2,8,Michael,103,,,,
2,8,Pam,30,,,,
2,8,Stanley,4,,,,
2,8,Angela,5,,,,
2,8,Jan,52,,,,
2,8,Kevin,3,,,,
2,8,Oscar,1,,,,
2,8,Ryan,1,,,,
2,8,Kelly,2,,,,
2,8,Phyllis,1,,,,
2,8,Toby,1,,,,
2,8,Creed,1,,,,
2,9,Michael,80,,,,
2,9,Jim,52,,,,
2,9,Kevin,8,,,,
2,9,Sadiq (IT guy),4,,,,
2,9,Dwight,34,,,,
2,9,Oscar,6,,,,
2,9,Stanley,2,,,,
2,9,Angela,13,,,,
2,9,Pam,38,,,,
2,9,Mark,2,,,,
2,9,Ryan,2,,,,
2,9,Improv Teacher,15,,,,
2,9,Mary-Beth,3,,,,
2,9,Girl acting Pregnant,1,,,,
2,9,Actor,1,,,,
2,9,Actress,1,,,,
2,9,Bill,5,,,,
2,9,Kelly,1,,,,
2,9,Phyllis,4,,,,
2,9,Michael and Jim,2,,,,
2,10,Dwight,41,,,,
2,10,Michael,87,,,,
2,10,Kevin,11,,,,
2,10,Jim,27,,,,
2,10,Angela,9,,,,
2,10,Phyllis,5,,,,
2,10,Ryan,15,,,,
2,10,Pam,17,,,,
2,10,Kevin & Oscar,1,,,,
2,10,Darryl,11,,,,
2,10,Toby,3,,,,
2,10,Oscar,8,,,,
2,10,Stanley,5,,,,
2,10,All,1,,,,
2,10,Kelly,8,,,,
2,10,Creed,4,,,,
2,10,Meredith,10,,,,
2,10,Liquor Store Clerk,2,,,,
2,10,JIm,1,,,,
2,10,Roy,8,,,,
2,10,Bob Vance,4,,,,
2,10,Phyllis, Meredith, Michael, Kevin,1,
2,10,Todd Packer,3,,,,
2,11,Jim,29,,,,
2,11,Dwight,22,,,,
2,11,Pam,17,,,,
2,11,Michael,75,,,,
2,11,Phyllis,4,,,,
2,11,Stanley,8,,,,
2,11,Meredith,3,,,,
2,11,Ryan,2,,,,
2,11,Kelly,4,,,,
2,11,Oscar,1,,,,
2,11,Darryl,3,,,,
2,11,Captain Jack,30,,,,
2,11,Katy,9,,,,
2,11,Roy,11,,,,
2,11,Brenda,3,,,,
2,11,Angela,1,,,,
2,11,Darryl and Katy,1,,,,
2,12,Oscar,3,,,,
2,12,Jim,54,,,,
2,12,Pam,56,,,,
2,12,Michael,123,,,,
2,12,Phyllis,3,,,,
2,12,Kevin,2,,,,
2,12,Dwight,58,,,,
2,12,Jim and Pam,1,,,,
2,12,Ryan,13,,,,
2,12,Angela,5,,,,
2,12,Toby,7,,,,
2,12,Creed,1,,,,
2,12,Stanley,4,,,,
2,12,Kelly,1,,,,
2,12,Billy Merchant,17,,,,
2,12,Meredith,1,,,,
2,12,Doctor,4,,,,
2,12,Lab Tech,3,,,,
2,13,Jim,50,,,,
2,13,Pam,27,,,,
2,13,Michael,92,,,,
2,13,Stanley,3,,,,
2,13,Ryan,7,,,,
2,13,Kevin,7,,,,
2,13,Dwight,37,,,,
2,13,Angela,5,,,,
2,13,Oscar,9,,,,
2,13,Kelly,5,,,,
2,13,Dana,8,,,,
2,13,Hooter's Girls,1,,,,
2,13,Toby,3,,,,
2,13,Phylis,1,,,,
2,13,Creed,3,,,,
2,13,Gil,2,,,,
2,14,Ryan,13,,,,
2,14,Jim,27,,,,
2,14,Michael,100,,,,
2,14,Pam,27,,,,
2,14,Kevin,6,,,,
2,14,Pam and others,1,,,,
2,14,Toby,1,,,,
2,14,Creed,9,,,,
2,14,Dwight,24,,,,
2,14,Kelly,9,,,,
2,14,Stanley,2,,,,
2,14,Oscar,5,,,,
2,14,Michael and Dwight,1,,,,
2,14,Roy,6,,,,
2,14,Angela,2,,,,
2,14,Phyllis,1,,,,
2,14,Darryl,3,,,,
2,14,Ed,9,,,,
2,14,Todd Packer,1,,,,
2,14,Packer,6,,,,
2,14,Todd,1,,,,
2,14,Jim's voicemail,1,,,,
2,15,Jan,55,,,,
2,15,Pam,26,,,,
2,15,Michael,76,,,,
2,15,Dwight,12,,,,
2,15,Jim,22,,,,
2,15,Darryl,27,,,,
2,15,Roy,15,,,,
2,15,Kevin,3,,,,
2,15,Meredith,5,,,,
2,15,Phyllis,9,,,,
2,15,Angela,5,,,,
2,15,Kelly,9,,,,
2,15,Ryan,2,,,,
2,15,Lonny,3,,,,
2,15,Madge,2,,,,
2,15,Guy,4,,,,
2,15,Group chant,1,,,,
2,15,Stanley,1,,,,
2,15,All the Men,1,,,,
2,16,Pam,22,,,,
2,16,Delivery man,5,,,,
2,16,Meredith,2,,,,
2,16,Phyllis,3,,,,
2,16,Michael,44,,,,
2,16,Dwight,19,,,,
2,16,Oscar,2,,,,
2,16,Jim,15,,,,
2,16,Kelly,13,,,,
2,16,Ryan,4,,,,
2,16,Kevin,5,,,,
2,16,Angela,4,,,,
2,16,Craig,11,,,,
2,16,Josh,11,,,,
2,16,Jan,16,,,,
2,16,David,12,,,,
2,16,Dan,1,,,,
2,16,Roy,5,,,,
2,17,Michael,52,,,,
2,17,Dwight,49,,,,
2,17,Jim,34,,,,
2,17,Creed,4,,,,
2,17,Ryan,7,,,,
2,17,Pam,19,,,,
2,17,Phyllis,4,,,,
2,17,Oscar,3,,,,
2,17,Stanley,5,,,,
2,17,Kelly,5,,,,
2,17,Angela,4,,,,
2,17,Kevin,4,,,,
2,17,Toby,4,,,,
2,17,Overhead,1,,,,
2,17,Speaker,2,,,,
2,17,Crowd,1,,,,
2,18,Pam,20,,,,
2,18,Jim,17,,,,
2,18,Michael,77,,,,
2,18,Jim and Dwight,1,,,,
2,18,Dwight,22,,,,
2,18,Toby,13,,,,
2,18,Kevin,5,,,,
2,18,Stanley,6,,,,
2,18,Melissa,13,,,,
2,18,Meredith,2,,,,
2,18,Angela,4,,,,
2,18,Kelly,6,,,,
2,18,Sasha,8,,,,
2,18,Ryan,10,,,,
2,18,Abby,12,,,,
2,18,Jake,20,,,,
2,18,The Kids,1,,,,
2,18,Creed,4,,,,
2,18,Kids,2,,,,
2,18,Miss Trudy,2,,,,
2,18,Edward R. Meow,7,,,,
2,18,Chet,2,,,,
2,18,Oscar,1,,,,
2,18,Darryl,1,,,,
2,18,Young Michael,2,,,,
2,18,Roy,1,,,,
2,18,Michael and Dwight,2,,,,
2,19,Michael,85,,,,
2,19,Oscar,7,,,,
2,19,Ryan,3,,,,
2,19,Toby,8,,,,
2,19,Jim,22,,,,
2,19,Pam,26,,,,
2,19,Meredith,1,,,,
2,19,Kevin,14,,,,
2,19,Dwight,42,,,,
2,19,Phyllis,2,,,,
2,19,Angela,11,,,,
2,19,Jan,5,,,,
2,19,Stanley,3,,,,
2,19,Kelly,3,,,,
2,19,Delivery Woman,3,,,,
2,19,Delivery Boy,2,,,,
2,19,Office Staff,1,,,,
2,19,Store Employee,1,,,,
2,19,Carol,4,,,,
2,20,Dwight,68,,,,
2,20,Jim,18,,,,
2,20,Kevin,5,,,,
2,20,Pam,15,,,,
2,20,Kelly,5,,,,
2,20,Ryan,7,,,,
2,20,Michael,50,,,,
2,20,Oscar,6,,,,
2,20,Phyllis,3,,,,
2,20,Creed,1,,,,
2,20,Stanley,6,,,,
2,20,Pam/Jim,1,,,,
2,20,Angela,5,,,,
2,20,Toby,5,,,,
2,20,Linda,5,,,,
2,20,Hank,5,,,,
2,21,Kevin,3,,,,
2,21,Pam,24,,,,
2,21,Jim,28,,,,
2,21,Phyllis,12,,,,
2,21,Angela,12,,,,
2,21,Michael,88,,,,
2,21,I.D. Photographer,1,,,,
2,21,Dwight,33,,,,
2,21,Ryan,4,,,,
2,21,Oscar,9,,,,
2,21,Toby,22,,,,
2,21,Photographer,9,,,,
2,21,Creed,3,,,,
2,21,Kelly,2,,,,
2,21,Anglea,1,,,,
2,21,Stanley,4,,,,
2,21,Female worker,1,,,,
2,22,Michael,93,,,,
2,22,Jim,51,,,,
2,22,Dwight,31,,,,
2,22,Pam,44,,,,
2,22,Roy,11,,,,
2,22,Jan,40,,,,
2,22,Oscar,4,,,,
2,22,Angela,5,,,,
2,22,Creed,4,,,,
2,22,Kevin,16,,,,
2,22,Toby,4,,,,
2,22,Phyllis,7,,,,
2,22,Darryl,8,,,,
2,22,Carol,30,,,,
2,22,Billy's Girlfriend,2,,,,
2,22,Billy,4,,,,
2,22,Stanley,1,,,,
2,22,Dealer,5,,,,
2,22,Meredith,1,,,,
2,22,Ryan,1,,,,
2,22,Bob Vance,1,,,,
2,22,Bob,2,,,,
3,1,Jim,10,,,,
3,1,Pam,6,,,,
3,1,Michael,49,,,,
3,1,Toby,9,,,,
3,1,Oscar,15,,,,
3,1,Angela,4,,,,
3,1,Andy,5,,,,
3,1,Josh,1,,,,
3,1,Karen,1,,,,
3,1,Dwight,16,,,,
3,1,Roy,4,,,,
3,1,Stanley,1,,,,
3,1,Kelly,1,,,,
3,1,Jan,7,,,,
3,1,Creed,1,,,,
3,1,Kevin,1,,,,
3,1,Phyllis,3,,,,
3,2,Michael,108,,,,
3,2,Pam,30,,,,
3,2,Ryan,3,,,,
3,2,Angela,9,,,,
3,2,Dwight,37,,,,
3,2,Kelly,8,,,,
3,2,Dwight and Michael,1,,,,
3,2,Creed,2,,,,
3,2,Meredith,1,,,,
3,2,Josh,21,,,,
3,2,Jim,32,,,,
3,2,Kevin,3,,,,
3,2,Toby,6,,,,
3,2,Jan,12,,,,
3,2,Jerome Bettis,4,,,,
3,2,Ted,1,,,,
3,2,Waiter,1,,,,
3,2,Phyllis,2,,,,
3,2,Stanley,1,,,,
3,2,Jim, Josh, and Dwight,1,,
3,2,Evan,6,,,,
3,2,Alan,8,,,,
3,2,Guy,2,,,,
3,3,Michael,73,,,,
3,3,Dwight,70,,,,
3,3,Pam,17,,,,
3,3,Kevin,4,,,,
3,3,Jan,25,,,,
3,3,Angela,12,,,,
3,3,Jim,11,,,,
3,3,Kelly,7,,,,
3,3,Andy,10,,,,
3,3,Karen,7,,,,
3,3,Phyllis,5,,,,
3,3,Roy,2,,,,
3,3,Josh,8,,,,
3,3,Stanley,2,,,,
3,3,Creed,2,,,,
3,4,Michael,82,,,,
3,4,Ryan,5,,,,
3,4,Dwight,35,,,,
3,4,Pam,25,,,,
3,4,Ryan and others,1,,,,
3,4,Jan,12,,,,
3,4,Kelly,3,,,,
3,4,Phyllis,3,,,,
3,4,Josh,3,,,,
3,4,Karen,15,,,,
3,4,Jim,15,,,,
3,4,Andy,4,,,,
3,4,Creed,6,,,,
3,4,Angela,6,,,,
3,4,Stanley,5,,,,
3,4,Roy,5,,,,
3,4,Kevin,2,,,,
3,4,Toby,3,,,,
3,4,Meredith,1,,,,
3,5,Dwight,45,,,,
3,5,Ryan,36,,,,
3,5,Jan,7,,,,
3,5,Michael,33,,,,
3,5,Pam,52,,,,
3,5,Karen,9,,,,
3,5,Jim,45,,,,
3,5,Andy,5,,,,
3,5,Announcer,1,,,,
3,5,Stanley,6,,,,
3,5,Kelly,6,,,,
3,5,Phyllis,2,,,,
3,5,Bob,2,,,,
3,5,Pretzel guy,3,,,,
3,5,Angela,4,,,,
3,5,Cousin Mose,1,,,,
3,5,Kevin,3,,,,
3,5,Toby,1,,,,
3,6,Kelly,15,,,,
3,6,Michael,56,,,,
3,6,Pam,23,,,,
3,6,Phyllis,2,,,,
3,6,Meredith,2,,,,
3,6,Dwight,6,,,,
3,6,Kevin,6,,,,
3,6,Roy,1,,,,
3,6,Angela,10,,,,
3,6,Stanley,1,,,,
3,6,Jim,19,,,,
3,6,Karen,14,,,,
3,6,Tony,2,,,,
3,6,Andy,14,,,,
3,6,Creed,1,,,,
3,6,Toby,2,,,,
3,6,Josh,2,,,,
3,6,Carol,12,,,,
3,6,Server,1,,,,
3,6,Ryan,7,,,,
3,6,Girls,1,,,,
3,6,Kelly's Mom,5,,,,
3,6,Overhead,1,,,,
3,6,Kelly's Father,3,,,,
3,6,Crowd,1,,,,
3,6,Young Man,1,,,,
3,6,Andy and Jim,4,,,,
3,7,Karen,9,,,,
3,7,Jim,21,,,,
3,7,Dwight,37,,,,
3,7,Michael,66,,,,
3,7,Jan,32,,,,
3,7,Dwight ,1,,,,
3,7,Andy,5,,,,
3,7,Pam,22,,,,
3,7,Toby,3,,,,
3,7,Angela,7,,,,
3,7,Ryan,7,,,,
3,7,Kelly,2,,,,
3,7,Stanley,1,,,,
3,7,Roy,4,,,,
3,7,Kevin,12,,,,
3,7,Darryl,4,,,,
3,7,Josh,10,,,,
3,7,M ichael,1,,,,
3,7,Michael ,1,,,,
3,7,Phyllis,8,,,,
3,7,Dwight:,1,,,,
3,7,Michael and Dwight,2,,,,
3,8,Jim,66,,,,
3,8,Andy,40,,,,
3,8,Karen,26,,,,
3,8,Pam,36,,,,
3,8,Toby,16,,,,
3,8,Dwight,73,,,,
3,8,Michael,125,,,,
3,8,Hannah,9,,,,
3,8,Tony,21,,,,
3,8,Kevin,7,,,,
3,8,Martin,5,,,,
3,8,Ryan,9,,,,
3,8,Kelly,6,,,,
3,8,Male voice,1,,,,
3,8,Meredith,2,,,,
3,8,Michael & Dwight,1,,,,
3,8,Michael and Dwight,1,,,,
3,8,Angela,4,,,,
3,8,Creed,2,,,,
3,8,Phyllis,8,,,,
3,8,Stanley,4,,,,
3,8,Andy & Michael,2,,,,
3,8,Jan,6,,,,
3,9,Pam,16,,,,
3,9,Hannah,5,,,,
3,9,Stanley,2,,,,
3,9,Michael,54,,,,
3,9,Karen,10,,,,
3,9,Jim,31,,,,
3,9,Angela,10,,,,
3,9,Jan,7,,,,
3,9,Kevin,13,,,,
3,9,Andy,17,,,,
3,9,Dwight,4,,,,
3,9,Martin,11,,,,
3,9,Meredith,1,,,,
3,9,Ryan,3,,,,
3,9,Creed,2,,,,
3,9,Phyllis,1,,,,
3,9,Toby,4,,,,
3,10,Dwight,61,,,,
3,10,Pam,57,,,,
3,10,Jim,43,,,,
3,10,Toby,8,,,,
3,10,Phyllis,12,,,,
3,10,Creed,3,,,,
3,10,Michael,108,,,,
3,10,Kevin,14,,,,
3,10,Andy,27,,,,
3,10,Carol,18,,,,
3,10,Stanley,3,,,,
3,10,Angela,37,,,,
3,10,Karen,34,,,,
3,10,Meredith,3,,,,
3,10,Kelly,5,,,,
3,10,Ryan,8,,,,
3,10,Waitress,1,,,,
3,10,Roy,6,,,,
3,10,Chef,2,,,,
3,10,Woman at bar,1,,,,
3,10,Cindy,2,,,,
3,10,Hannah,2,,,,
3,10,Man,1,,,,
3,10,Darryl,3,,,,
3,10,Everybody,1,,,,
3,10,Second Cindy,12,,,,
3,10,Other waitress,2,,,,
3,10,Andy and Michael,1,,,,
3,10,Both,2,,,,
3,10,Oscar,1,,,,
3,12,Jim,25,,,,
3,12,Dwight,22,,,,
3,12,Karen,9,,,,
3,12,Phyllis,2,,,,
3,12,Andy,3,,,,
3,12,Michael,68,,,,
3,12,Pam,33,,,,
3,12,Stanley,4,,,,
3,12,Angela,4,,,,
3,12,Everybody,2,,,,
3,12,Packer,7,,,,
3,12,Roy,5,,,,
3,12,Darryl,6,,,,
3,12,Kevin,5,,,,
3,12,Toby,7,,,,
3,12,Jan,12,,,,
3,13,Michael,48,,,,
3,13,Harvey,7,,,,
3,13,Jim,39,,,,
3,13,Pam,26,,,,
3,13,Kevin,7,,,,
3,13,Angela,17,,,,
3,13,Andy,29,,,,
3,13,Dwight,33,,,,
3,13,Phyllis,10,,,,
3,13,Karen,16,,,,
3,13,Stanley,8,,,,
3,13,Ryan,8,,,,
3,13,Buyer,2,,,,
3,13,Kenny,1,,,,
3,13,Julius,3,,,,
3,13,Guy,1,,,,
3,13,Man,5,,,,
3,13,Phone,1,,,,
3,13,Kelly,2,,,,
3,13,Jan,1,,,,
3,14,Dwight,25,,,,
3,14,Andy,40,,,,
3,14,Jim,25,,,,
3,14,Michael,48,,,,
3,14,Oscar,11,,,,
3,14,Kevin,3,,,,
3,14,Angela,14,,,,
3,14,Staples Guy,1,,,,
3,14,Pam,10,,,,
3,14,MIchael,1,,,,
3,14,Lady,2,,,,
3,14,Karen,4,,,,
3,14,Ryan,3,,,,
3,14,Phyllis,3,,,,
3,14,Stanley,2,,,,
3,14,Paris,6,,,,
3,14,Everybody,1,,,,
3,14,Creed,3,,,,
3,14,Meredith,2,,,,
3,14,Marcy,3,,,,
3,15,Michael,76,,,,
3,15,Dwight,28,,,,
3,15,Pam,30,,,,
3,15,Jim,25,,,,
3,15,Angela,4,,,,
3,15,Karen,15,,,,
3,15,Packer,11,,,,
3,15,Meredith,2,,,,
3,15,Ryan,6,,,,
3,15,Ben Franklin,24,,,,
3,15,Elizabeth,17,,,,
3,15,Stanley,1,,,,
3,15,Kevin,2,,,,
3,15,Roy,1,,,,
3,15,Bob Vance,1,,,,
3,15,Jan,6,,,,
3,15,Kelly,3,,,,
3,16,Jim,19,,,,
3,16,Dwight,25,,,,
3,16,Michael,49,,,,
3,16,Photographer,1,,,,
3,16,Phyllis,15,,,,
3,16,Pam,15,,,,
3,16,Stanley,2,,,,
3,16,Karen,4,,,,
3,16,Angela,3,,,,
3,16,Kevin,4,,,,
3,16,Toby,2,,,,
3,16,Kelly,5,,,,
3,16,Meredith,1,,,,
3,16,Priest,4,,,,
3,16,Bob Vance,7,,,,
3,16,Uncle Al,7,,,,
3,16,Roy,9,,,,
3,16,Randy,2,,,,
3,16,Unknown,1,,,,
3,16,Crowd,1,,,,
3,16,Women,1,,,,
3,17,Michael,45,,,,
3,17,Kevin,6,,,,
3,17,Ryan,14,,,,
3,17,Dwight,22,,,,
3,17,Roy,8,,,,
3,17,Pam,26,,,,
3,17,Jim,11,,,,
3,17,Kelly,9,,,,
3,17,College Student,1,,,,
3,17,Karen,5,,,,
3,17,Stanley,1,,,,
3,17,Angela,2,,,,
3,17,Toby,3,,,,
3,17,Business Student #1,4,,,,
